oid,component_id,optype,side,x,y,preferred_nozzles,base_time_s,heat_time_s,priority,prerequisites
U1,HEATSINK_A,UNSCREW,TOP,20.00,40.00,SCREWDRIVER,2.00,0.00,0,
U2,HEATSINK_A,UNSCREW,TOP,35.00,42.00,SCREWDRIVER,2.00,0.00,0,
U3,HEATSINK_A,UNSCREW,TOP,28.00,55.00,SCREWDRIVER,2.00,0.00,0,
C1,HEATSINK_A,UNCLAMP,BOTTOM,27.00,45.00,GRIPPER,1.50,0.00,1,U1|U2|U3
E1,HEATSINK_A,EXTRACT,TOP,27.00,45.00,GRIPPER,2.50,0.00,2,C1
H1,IC_U5,HOT_AIR,BOTTOM,80.00,30.00,HOT_AIR_4,3.00,5.00,3,
D1,IC_U5,DESOLDER_SUCK,BOTTOM,80.00,30.00,DESOLDER,2.00,0.00,4,H1
E2,IC_U5,EXTRACT,TOP,80.00,30.00,GRIPPER,2.00,0.00,5,D1
J1,C_ELEC1,HEAT_JOINT,BOTTOM,121.50,60.00,TIP_M,1.50,2.00,3,
D2,C_ELEC1,DESOLDER_SUCK,BOTTOM,121.50,60.00,DESOLDER,2.00,0.00,4,J1
E3,C_ELEC1,EXTRACT,BOTTOM,121.50,60.00,GRIPPER,1.80,0.00,5,D2
