op_id,nozzle,x,y,travel_s,op_s,setup_s,cum_time_s,notes
SETUP_SIDE_BOTTOM,N/A,0.00,0.00,0.000,0.000,2.000,2.000,Перехід на сторону BOTTOM
MOVE_TO_TOOL_STATION,N/A,0.00,0.00,0.080,0.000,0.000,2.080,Під’їзд до станції інструментів
SETUP_HOT_AIR_4,HOT_AIR_4,0.00,0.00,0.000,0.000,18.000,20.080,Переналаштування на насадку
H1,HOT_AIR_4,80.00,30.00,0.342,8.300,0.000,28.722,HOT_AIR для компонента IC_U5
MOVE_TO_BASE_BOTTOM,HOT_AIR_4,20.00,0.00,0.268,0.000,0.000,28.990,Під’їзд до бази сторони BOTTOM перед фліпом
SETUP_SIDE_TOP,HOT_AIR_4,20.00,0.00,0.000,0.000,2.000,30.990,Перехід на сторону TOP
MOVE_TO_TOOL_STATION,HOT_AIR_4,0.00,0.00,0.080,0.000,0.000,31.070,Під’їзд до станції інструментів
SETUP_SCREWDRIVER,SCREWDRIVER,0.00,0.00,0.000,0.000,7.000,38.070,Переналаштування на насадку
U1,SCREWDRIVER,20.00,40.00,0.179,2.300,0.000,40.549,UNSCREW для компонента HEATSINK_A
U2,SCREWDRIVER,35.00,42.00,0.061,2.300,0.000,42.910,UNSCREW для компонента HEATSINK_A
U3,SCREWDRIVER,28.00,55.00,0.059,2.300,0.000,45.269,UNSCREW для компонента HEATSINK_A
MOVE_TO_BASE_TOP,SCREWDRIVER,0.00,20.00,0.179,0.000,0.000,45.448,Під’їзд до бази сторони TOP перед фліпом
SETUP_SIDE_BOTTOM,SCREWDRIVER,0.00,20.00,0.000,0.000,2.000,47.448,Перехід на сторону BOTTOM
MOVE_TO_TOOL_STATION,SCREWDRIVER,0.00,0.00,0.080,0.000,0.000,47.528,Під’їзд до станції інструментів
SETUP_TIP_M,TIP_M,0.00,0.00,0.000,0.000,10.000,57.528,Переналаштування на насадку
J1,TIP_M,121.50,60.00,0.542,3.800,0.000,61.870,HEAT_JOINT для компонента C_ELEC1
RESCAN_1,TIP_M,121.50,60.00,0.000,1.000,0.000,62.870,Проміжне сканування/оновлення
RESCAN_2,TIP_M,121.50,60.00,0.000,1.000,0.000,63.870,Проміжне сканування/оновлення
RESCAN_3,TIP_M,121.50,60.00,0.000,1.000,0.000,64.870,Проміжне сканування/оновлення
