StepID,OpID,Component,Nozzle,Action,Side,X_mm,Y_mm,Duration_s
1,SETUP_SIDE_TOP,-,N/A,MOVE/SETUP,-,0.0,0.0,5.0
2,MOVE_TO_TOOL_STATION,-,N/A,MOVE/SETUP,-,0.0,0.0,0.1
3,SETUP_TIP_M,-,TIP_M,MOVE/SETUP,-,0.0,0.0,2.0
4,HEAT_xl_test_1-6,SMD_SMALL_2PIN,TIP_M,HEAT_JOINT,TOP,3.5,8.7,3.0
5,EXTRACT_xl_test_1-6,SMD_SMALL_2PIN,GRIPPER,PULL_COMPONENT,TOP,3.5,8.7,1.2
6,HEAT_C1,ELECTROLYT_CAP_VERT,TIP_M,HEAT_JOINT,TOP,10.1,4.6,3.0
7,EXTRACT_C1,ELECTROLYT_CAP_VERT,GRIPPER,PULL_COMPONENT,TOP,10.1,4.6,1.2
8,HEAT_xl_test_1-1,SMD_DIODE,TIP_M,HEAT_JOINT,TOP,1.9,14.4,3.0
9,EXTRACT_xl_test_1-1,SMD_DIODE,GRIPPER,PULL_COMPONENT,TOP,1.9,14.4,1.2
10,HEAT_xl_test_1-4,SMD_SMALL_2PIN,TIP_M,HEAT_JOINT,TOP,15.6,23.2,3.0
11,EXTRACT_xl_test_1-4,SMD_SMALL_2PIN,GRIPPER,PULL_COMPONENT,TOP,15.6,23.2,1.2
12,HEAT_xl_test_1-5,SMD_SMALL_2PIN,TIP_M,HEAT_JOINT,TOP,18.8,23.1,3.0
13,EXTRACT_xl_test_1-5,SMD_SMALL_2PIN,GRIPPER,PULL_COMPONENT,TOP,18.8,23.1,1.2
14,HEAT_C2,ELECTROLYT_CAP_VERT,TIP_M,HEAT_JOINT,TOP,10.1,39.7,3.0
15,EXTRACT_C2,ELECTROLYT_CAP_VERT,GRIPPER,PULL_COMPONENT,TOP,10.1,39.7,1.2
16,MOVE_TO_TOOL_STATION,-,TIP_M,MOVE/SETUP,-,0.0,0.0,0.2
17,SETUP_HOT_AIR_4,-,HOT_AIR_4,MOVE/SETUP,-,0.0,0.0,4.0
18,HEAT_xl_test_1-3,TO_263_5,HOT_AIR_4,HOT_AIR_REFLOW,TOP,12.3,16.0,3.0
19,EXTRACT_xl_test_1-3,TO_263_5,GRIPPER,PULL_COMPONENT,TOP,12.3,16.0,2.7
20,MOVE_TO_BASE_TOP,-,HOT_AIR_4,MOVE/SETUP,-,0.0,20.0,0.1
21,SETUP_SIDE_BOTTOM,-,HOT_AIR_4,MOVE/SETUP,-,0.0,20.0,5.0
22,MOVE_TO_TOOL_STATION,-,HOT_AIR_4,MOVE/SETUP,-,0.0,0.0,0.1
23,SETUP_TIP_M,-,TIP_M,MOVE/SETUP,-,0.0,0.0,2.0
24,HEAT_xl_test_1-0,TOROID_INDUCTOR_HORZ,TIP_M,HEAT_JOINT,BOTTOM,7.1,28.1,3.0
25,EXTRACT_xl_test_1-0,TOROID_INDUCTOR_HORZ,GRIPPER,PULL_COMPONENT,TOP,7.1,28.1,2.7
26,HEAT_xl_test_1-2,TRIM_POTENTIOMETER,TIP_M,HEAT_JOINT,BOTTOM,17.5,29.9,3.0
27,EXTRACT_xl_test_1-2,TRIM_POTENTIOMETER,GRIPPER,PULL_COMPONENT,TOP,17.5,29.9,2.7
