epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33658,0,58.0765,0,0,0,0,0,0,47.227,0,0,0,0
2,7.70232,0,58.151,0,0,0,0,0,0,47.2708,0,1.934e-05,1.934e-05,1.934e-05
3,10.6393,0,57.874,0,0,0,0,0,0,47.3256,0,3.736e-05,3.736e-05,3.736e-05
4,13.8486,0,57.2821,0,0,0,0,0,0,47.3875,0,5.406e-05,5.406e-05,5.406e-05
5,16.7402,0,57.0163,0,0,0,0,0,0,47.4436,0,6.944e-05,6.944e-05,6.944e-05
6,19.5131,0,56.6269,0,0,0,0,0,0,47.4811,0,8.35e-05,8.35e-05,8.35e-05
7,22.7274,0,56.3583,0,0,0,0,0,0,47.5022,0,9.624e-05,9.624e-05,9.624e-05
8,25.9153,0,56.1908,0,0,0,0,0,0,47.5157,0,0.00010766,0.00010766,0.00010766
9,29.1359,0,55.8021,0,0,0,0,0,0,47.5395,0,0.00011776,0.00011776,0.00011776
10,32.0514,0,55.5927,0,0,0,0,0,0,47.5644,0,0.00012654,0.00012654,0.00012654
11,34.9381,0,55.3842,0,0,0,0,0,0,47.6029,0,0.000134,0.000134,0.000134
12,38.0698,0,54.9524,0,0,0,0,0,0,47.641,0,0.00014014,0.00014014,0.00014014
13,40.9529,0,54.766,0,0,0,0,0,0,47.6805,0,0.00014496,0.00014496,0.00014496
14,44.1223,0,54.3828,0,0,0,0,0,0,47.7276,0,0.00014846,0.00014846,0.00014846
15,47.2542,0,54.0374,0,0,0,0,0,0,47.7799,0,0.00015064,0.00015064,0.00015064
16,50.0653,0,53.6302,0,0,0,0,0,0,47.8309,0,0.0001515,0.0001515,0.0001515
17,53.057,0,53.3793,0,0,0,0,0,0,47.862,0,0.00015104,0.00015104,0.00015104
18,55.7008,0,52.8224,0,0,0,0,0,0,47.862,0,0.00014926,0.00014926,0.00014926
19,58.5495,0,52.8682,0,0,0,0,0,0,47.8633,0,0.00014616,0.00014616,0.00014616
20,61.5274,0,52.5705,0,0,0,0,0,0,47.8633,0,0.00014174,0.00014174,0.00014174
21,64.5703,0,52.4782,0,0,0,0,0,0,47.862,0,0.000136,0.000136,0.000136
22,67.4797,0,52.1815,0,0,0,0,0,0,47.862,0,0.00012894,0.00012894,0.00012894
23,70.2202,0,52.0819,0,0,0,0,0,0,47.8413,0,0.00012056,0.00012056,0.00012056
24,73.1145,0,51.7161,0,0,0,0,0,0,47.8413,0,0.00011086,0.00011086,0.00011086
25,76.3154,0,51.6712,0,0,0,0,0,0,47.816,0,9.984e-05,9.984e-05,9.984e-05
26,79.2294,0,51.1183,0,0,0,0,0,0,47.816,0,8.75e-05,8.75e-05,8.75e-05
27,82.9679,0,51.6711,0,0,0,0,0,0,47.7828,0,7.384e-05,7.384e-05,7.384e-05
28,86.5623,0,50.8553,0,0,0,0,0,0,47.7828,0,5.886e-05,5.886e-05,5.886e-05
29,90.0258,0,50.7701,0,0,0,0,0,0,47.7549,0,4.256e-05,4.256e-05,4.256e-05
30,93.7539,0,50.5909,0,0,0,0,0,0,47.7549,0,2.494e-05,2.494e-05,2.494e-05
