epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7782,1.15698,3.03194,1.17015,0.00667,1,0.78098,0.63536,0.71614,2.79264,0.84416,2e-05,2e-05,2e-05
2,54.0832,1.01408,2.77251,1.13992,0.00667,1,0.98167,0.79791,0.76927,2.78362,0.84224,5.802e-05,5.802e-05,5.802e-05
3,94.6588,0.75748,2.75162,0.96579,0.00667,1,0.995,0.83616,0.69879,2.73072,0.80915,9.34e-05,9.34e-05,9.34e-05
4,128.558,0.72495,1.99801,0.98898,0.00667,1,0.995,0.8955,0.52445,2.62642,0.76878,0.00012614,0.00012614,0.00012614
5,156.019,0.63561,1.44665,0.95942,0.00667,1,0.995,0.91808,0.38174,2.44434,0.73189,0.00015624,0.00015624,0.00015624
6,179.801,0.46638,1.06798,0.80664,0.94537,1,0.995,0.95642,0.30113,2.20106,0.71901,0.0001837,0.0001837,0.0001837
7,206.68,0.38764,0.92585,0.84606,1,0.73091,0.995,0.92683,0.30119,2.1421,0.71568,0.00020852,0.00020852,0.00020852
8,232.699,0.50552,1.06306,0.88584,0.9205,1,0.995,0.97991,0.25139,2.30616,0.7134,0.0002307,0.0002307,0.0002307
9,260.394,0.57549,0.89779,0.80673,0.91864,1,0.995,0.97679,0.26381,2.3872,0.71611,0.00025024,0.00025024,0.00025024
10,293.688,0.51129,1.12821,0.88213,0.93241,1,0.995,0.95756,0.30746,2.44173,0.72716,0.00026714,0.00026714,0.00026714
11,322.831,0.45782,1.03294,0.83774,0.97749,1,0.995,0.97679,0.30424,2.46159,0.72725,0.0002814,0.0002814,0.0002814
12,349.268,0.42867,1.05867,0.87258,1,0.96707,0.995,0.97829,0.28722,2.43907,0.72202,0.00029302,0.00029302,0.00029302
13,375.178,0.44157,1.02353,0.90881,1,0.97631,0.995,0.97829,0.25361,2.38468,0.7182,0.000302,0.000302,0.000302
14,401.173,0.3867,1.34356,0.79332,0.9724,1,0.995,0.98304,0.23631,2.34272,0.71456,0.00030834,0.00030834,0.00030834
15,426.795,0.4285,0.99697,0.86657,0.98672,1,0.995,0.98304,0.24832,2.28861,0.71369,0.00031204,0.00031204,0.00031204
16,454.118,0.42076,0.91371,0.84166,0.99581,1,0.995,0.96121,0.2832,2.20627,0.7162,0.0003131,0.0003131,0.0003131
17,485.099,0.36642,1.0525,0.78824,0.9551,1,0.995,0.95942,0.29878,2.04375,0.71555,0.00031152,0.00031152,0.00031152
18,513.074,0.33882,0.90514,0.83601,0.97434,1,0.995,0.995,0.30308,1.87094,0.71224,0.0003073,0.0003073,0.0003073
19,541.876,0.4549,0.90792,0.81781,0.97874,1,0.995,0.995,0.28506,1.73475,0.70713,0.00030044,0.00030044,0.00030044
20,568.923,0.33305,0.7869,0.81178,0.97865,1,0.995,0.995,0.26354,1.69107,0.70367,0.00029094,0.00029094,0.00029094
21,594.194,0.40449,1.44581,0.94501,0.97832,1,0.995,0.995,0.27468,1.69357,0.70799,0.0002788,0.0002788,0.0002788
22,620.836,0.50311,1.447,0.88171,0.98004,1,0.995,0.97679,0.2973,1.75412,0.71288,0.00026402,0.00026402,0.00026402
23,647.336,0.38525,1.36688,0.88093,0.97847,1,0.995,0.97679,0.29896,1.82396,0.71499,0.0002466,0.0002466,0.0002466
24,678.504,0.42522,1.40082,0.83464,0.97486,1,0.995,0.97679,0.30009,1.89243,0.71579,0.00022654,0.00022654,0.00022654
25,703.543,0.43493,1.39637,0.93189,0.97003,1,0.995,0.97679,0.303,1.93859,0.71673,0.00020384,0.00020384,0.00020384
26,732.441,0.51201,1.54002,0.89567,0.96504,1,0.995,0.97679,0.29287,1.96662,0.71614,0.0001785,0.0001785,0.0001785
27,758.264,0.43236,1.46113,0.90778,0.9629,1,0.995,0.97679,0.29557,1.96265,0.71664,0.00015052,0.00015052,0.00015052
28,782.295,0.41034,1.49131,0.86364,0.9629,1,0.995,0.97679,0.29557,1.96265,0.71664,0.0001199,0.0001199,0.0001199
29,809.179,0.45689,1.49859,0.90513,0.96629,1,0.995,0.97516,0.2875,1.91643,0.71572,8.664e-05,8.664e-05,8.664e-05
30,834.47,0.34905,1.46382,0.82389,0.97198,1,0.995,0.97516,0.28105,1.84885,0.71476,5.074e-05,5.074e-05,5.074e-05
